county,lat,lng
Hamilton,35.1808,-85.1648
Chesterfield,37.3785,-77.587
Anoka,45.2733,-93.2465
Davis,40.99,-112.1115
Douglas,39.3298,-104.9293
Larimer,40.6664,-105.4611
Horry,33.9214,-78.9967
Westmoreland,40.3109,-79.4668
Nueces,27.7254,-97.6134
Galveston,29.3944,-94.9642
Hamilton,40.0725,-86.052
Marion,44.9033,-122.5847
Somerset,40.5635,-74.6163
Rutherford,35.8427,-86.4167
Rockland,41.1525,-74.0242
Cumberland,35.0487,-78.8277
St. Lucie,27.3773,-80.4721
Henrico,37.538,-77.4059
Howard,39.2507,-76.9312
Weld,40.5548,-104.3925
Spartanburg,34.9309,-81.9908
Boulder,40.0925,-105.3577
Greater Bridgeport,41.2428,-73.2314
Luzerne,41.177,-75.9892
Durham,36.036,-78.8766
Lancaster,40.7842,-96.6878
Escambia,30.669,-87.363
Fayette,38.0423,-84.4587
Rockingham,42.9875,-71.1254
Albany,42.6002,-73.9736
Northampton,40.7542,-75.3076
Lorain,41.2956,-82.151
Lubbock,33.6102,-101.8205
McHenry,42.3244,-88.4523
Cumberland,43.8466,-70.3996
Gloucester,39.7173,-75.1414
Greene,37.2581,-93.342
St. Louis,38.6358,-90.2451
Dutchess,41.7652,-73.7429
Clayton,33.542,-84.3576
Chatham,32.0043,-81.1329
Ottawa,42.9599,-85.996
Lexington,33.9023,-81.2722
Cleveland,35.2031,-97.3265
Thurston,46.9256,-122.8333
Leon,30.458,-84.2779
Anchorage,61.1498,-149.1082
Benton,36.3387,-94.2561
Dauphin,40.4155,-76.7794
Winnebago,42.3363,-89.1609
York,34.9748,-81.1845
Ingham,42.5971,-84.3735
Merced,37.1919,-120.7177
San Luis Obispo,35.3871,-120.4044
Southeastern Connecticut,41.5023,-72.1
Alachua,29.6747,-82.3577
St. Johns,29.9016,-81.4407
Kitsap,47.6127,-122.6762
Atlantic,39.4778,-74.661
Frederick,39.4722,-77.398
St. Joseph,41.6167,-86.2899
Erie,41.9925,-80.0327
Buncombe,35.6112,-82.5301
Washington,45.0388,-92.8838
Santa Cruz,37.0562,-122.0018
Cherokee,34.244,-84.4762
Brown,44.4525,-88.0037
Webb,27.7611,-99.3315
St. Tammany,30.4103,-89.9584
Madison,38.8297,-89.9049
Weber,41.2698,-111.9134
Kalamazoo,42.2455,-85.5312
Cumberland,40.1636,-77.2655
McLennan,31.5524,-97.2018
Harford,39.5611,-76.3171
Marin,38.0734,-122.7234
St. Clair,38.4703,-89.9284
Yakima,46.4571,-120.7385
Jefferson,29.8841,-94.1629
Forsyth,34.2255,-84.1251
Clay,39.3105,-94.4209
Chesapeake,36.6778,-76.3023
Williamson,35.8938,-86.8986
Washington,35.9791,-94.2156
Hays,30.0579,-98.0312
Warren,39.4277,-84.1668
Lafayette,30.2068,-92.0639
Henry,33.453,-84.1542
Sussex,38.6606,-75.39
Union,34.9884,-80.5307
Yavapai,34.5998,-112.5537
Norfolk,36.8947,-76.257
Saratoga,43.1074,-73.8639
Caddo,32.5806,-93.8823
Arlington,38.8786,-77.1011
Canyon,43.6251,-116.7093
Smith,32.375,-95.2692
Brazos,30.6608,-96.3024
Baldwin,30.7277,-87.7226
Lake,41.6963,-81.2373
Tuscaloosa,33.2896,-87.5251
Berkeley,33.1973,-79.9522
Oneida,43.2418,-75.4358
Barnstable,41.7244,-70.2903
Linn,42.079,-91.599
Gaston,35.2944,-81.1803
New Hanover,34.2329,-77.8848
Montgomery,32.2203,-86.2076
Mahoning,41.0146,-80.7763
Richmond,37.5294,-77.4756
Jefferson,38.261,-90.5377
Hinds,32.2667,-90.4429
Whatcom,48.8259,-121.7199
Cabarrus,35.3868,-80.5519
Shelby,33.2643,-86.6607
Jackson,42.4322,-122.7285
Montgomery,36.4969,-87.3828
Doña Ana,32.3526,-106.8328
Clay,29.9831,-81.8579
Johnston,35.5178,-78.3657
Yolo,38.6866,-121.9011
Delaware,40.2784,-83.0049
Lackawanna,41.4367,-75.6092
Mohave,35.7041,-113.7579
Butte,39.6669,-121.6007
York,43.4782,-70.7144
Niagara,43.2001,-78.7452
Okaloosa,30.6913,-86.5917
Calcasieu,30.2293,-93.3581
Washington,40.1894,-80.2483
Clermont,39.0476,-84.1517
Harrison,30.5122,-89.116
Benton,46.2398,-119.5112
Elkhart,41.5974,-85.8587
Champaign,40.1401,-88.1992
Richmond,33.3596,-82.0736
Hall,34.3169,-83.8197
Anderson,34.5193,-82.6378
Muscogee,32.51,-84.8771
Yuma,32.7695,-113.9056
Onslow,34.7322,-77.4322
Hawaii,19.5984,-155.5183
Trumbull,41.317,-80.7613
St. Louis,47.6031,-92.4707
Deschutes,43.9151,-121.2281
Broome,42.1602,-75.8196
Minnehaha,43.6742,-96.7915
Racine,42.7475,-88.0613
Sumner,36.469,-86.4606
Hernando,28.5537,-82.424
Sangamon,39.7582,-89.6589
Ellis,32.3484,-96.7947
Butler,40.912,-79.9133
Livingston,42.6029,-83.9115
El Dorado,38.7787,-120.5247
Sarpy,41.1129,-96.112
Outagamie,44.4161,-88.4649
Charlotte,26.9058,-81.9114
Saginaw,43.335,-84.0532
Beaufort,32.3856,-80.7306
Santa Rosa,30.7004,-87.0219
Iredell,35.8071,-80.8734
